split_id,family,name,public_n,private_n,public_pos,private_pos,public_auc,private_auc,private_delta_ref,private_rank
0,stratified,rstack_realmlp4_c008_s42_j5,87828,351312,17476,69905,0.9538406749569103,0.9539241934190011,2.9649055735991858e-05,1
0,stratified,rstack_realmlp4_c006_s42_j5,87828,351312,17476,69905,0.9538403455470924,0.9539227523173771,2.8207954111958422e-05,2
0,stratified,rstack_realmlp4_c004_s42_j5,87828,351312,17476,69905,0.9538454794601054,0.9539167333326977,2.2188969432512806e-05,3
0,stratified,rstack_realmlp4_c012_s42_j5,87828,351312,17476,69905,0.9538407318919405,0.9539163448061284,2.1800442863262326e-05,4
0,stratified,best_rust_csweep_stack,87828,351312,17476,69905,0.9538124132212537,0.9539019245888803,7.380225615194469e-06,5
0,stratified,best_blend_meta_rust_multi_w100_620_280,87828,351312,17476,69905,0.953809808036941,0.9539012567278223,6.712364557182049e-06,6
0,stratified,best_blend_meta_rust_w65,87828,351312,17476,69905,0.9538082146694518,0.9539012210421424,6.676678877215458e-06,7
0,stratified,best_meta_bag_c008_s6,87828,351312,17476,69905,0.9538036655605351,0.9538945443632652,0.0,8
0,stratified,v15_realmlp_avg4,87828,351312,17476,69905,0.9499146613845361,0.9499838870386252,-0.00391065732463991,9
1,stratified,rstack_realmlp4_c008_s42_j5,87828,351312,17476,69905,0.9531718965710563,0.9540918708212538,2.6573478803748607e-05,2
1,stratified,rstack_realmlp4_c006_s42_j5,87828,351312,17476,69905,0.9531608828961339,0.9540930830668506,2.7785724400541945e-05,1
1,stratified,rstack_realmlp4_c004_s42_j5,87828,351312,17476,69905,0.9531580589186337,0.9540887619478539,2.3464605403811234e-05,3
1,stratified,rstack_realmlp4_c012_s42_j5,87828,351312,17476,69905,0.9531698298294583,0.9540847769960953,1.947965364523796e-05,4
1,stratified,best_rust_csweep_stack,87828,351312,17476,69905,0.9531341616597242,0.9540723438408735,7.046498423424197e-06,5
1,stratified,best_blend_meta_rust_multi_w100_620_280,87828,351312,17476,69905,0.953130713836964,0.9540717623981285,6.465055678472886e-06,6
1,stratified,best_blend_meta_rust_w65,87828,351312,17476,69905,0.9531304381087461,0.9540715168684505,6.2195260004394015e-06,7
1,stratified,best_meta_bag_c008_s6,87828,351312,17476,69905,0.953123882446692,0.95406529734245,0.0,8
1,stratified,v15_realmlp_avg4,87828,351312,17476,69905,0.9492258386146051,0.9501542370542991,-0.003911060288150914,9
2,stratified,rstack_realmlp4_c008_s42_j5,87828,351312,17476,69905,0.9534836809302604,0.9540134595206189,3.2407528293032506e-05,1
2,stratified,rstack_realmlp4_c006_s42_j5,87828,351312,17476,69905,0.9534830172304792,0.954012499362325,3.14473699991602e-05,2
2,stratified,rstack_realmlp4_c004_s42_j5,87828,351312,17476,69905,0.953489412661091,0.9540056944793384,2.4642487012505043e-05,3
2,stratified,rstack_realmlp4_c012_s42_j5,87828,351312,17476,69905,0.9534896599217938,0.9540043479295159,2.329593719008205e-05,4
2,stratified,best_rust_csweep_stack,87828,351312,17476,69905,0.9534800257013185,0.953985672067852,4.6200755261516235e-06,5
2,stratified,best_blend_meta_rust_multi_w100_620_280,87828,351312,17476,69905,0.9534794059228464,0.9539846110034689,3.5590111430172655e-06,6
2,stratified,best_blend_meta_rust_w65,87828,351312,17476,69905,0.9534787357162047,0.9539844718699847,3.419877658838999e-06,7
2,stratified,best_meta_bag_c008_s6,87828,351312,17476,69905,0.9534589760072789,0.9539810519923259,0.0,8
2,stratified,v15_realmlp_avg4,87828,351312,17476,69905,0.9499072939916222,0.9499839941973336,-0.003997057794992265,9
3,stratified,rstack_realmlp4_c008_s42_j5,87828,351312,17476,69905,0.9541647605360779,0.9538429016943188,2.7528757004513515e-05,1
3,stratified,rstack_realmlp4_c006_s42_j5,87828,351312,17476,69905,0.9541686280513467,0.9538404234204337,2.5050483119404277e-05,2
3,stratified,rstack_realmlp4_c004_s42_j5,87828,351312,17476,69905,0.9541615843747477,0.9538370084737022,2.163553638789839e-05,3
3,stratified,rstack_realmlp4_c012_s42_j5,87828,351312,17476,69905,0.9541639902864544,0.9538353190465136,1.994610919930917e-05,4
3,stratified,best_rust_csweep_stack,87828,351312,17476,69905,0.9541215281408968,0.9538245500538323,9.177116517933293e-06,5
3,stratified,best_blend_meta_rust_multi_w100_620_280,87828,351312,17476,69905,0.9541209498436609,0.9538233471109127,7.974173598324086e-06,6
3,stratified,best_blend_meta_rust_w65,87828,351312,17476,69905,0.9541206269407037,0.953823133810182,7.760872867690338e-06,7
3,stratified,best_meta_bag_c008_s6,87828,351312,17476,69905,0.9541202527962193,0.9538153729373143,0.0,8
3,stratified,v15_realmlp_avg4,87828,351312,17476,69905,0.9503973443706,0.9498619653373213,-0.003953407599993075,9
4,stratified,rstack_realmlp4_c008_s42_j5,87828,351312,17476,69905,0.953031575308869,0.954125647774805,2.645544155477353e-05,2
4,stratified,rstack_realmlp4_c006_s42_j5,87828,351312,17476,69905,0.9530194522142144,0.9541268155403878,2.76232071375615e-05,1
4,stratified,rstack_realmlp4_c004_s42_j5,87828,351312,17476,69905,0.953017635173392,0.9541224056646999,2.3213331449611907e-05,4
4,stratified,rstack_realmlp4_c012_s42_j5,87828,351312,17476,69905,0.9530060960694762,0.9541240957527344,2.490341948413466e-05,3
4,stratified,best_rust_csweep_stack,87828,351312,17476,69905,0.9529837238560197,0.9541081863954473,8.994062197009711e-06,5
4,stratified,best_blend_meta_rust_multi_w100_620_280,87828,351312,17476,69905,0.952985462814515,0.9541063734917393,7.181158489077966e-06,6
4,stratified,best_blend_meta_rust_w65,87828,351312,17476,69905,0.9529867918407924,0.9541057136116667,6.521278416493637e-06,7
4,stratified,best_meta_bag_c008_s6,87828,351312,17476,69905,0.9529811341255011,0.9540991923332502,0.0,8
4,stratified,v15_realmlp_avg4,87828,351312,17476,69905,0.9492275019308458,0.9501542070112267,-0.003944985322023586,9
5,stratified,rstack_realmlp4_c008_s42_j5,87828,351312,17476,69905,0.9542503363266107,0.9538217181257089,2.8603699152029982e-05,1
5,stratified,rstack_realmlp4_c006_s42_j5,87828,351312,17476,69905,0.9542487486526243,0.9538204719227984,2.735749624149797e-05,2
5,stratified,rstack_realmlp4_c004_s42_j5,87828,351312,17476,69905,0.9542430844304725,0.9538168381852317,2.3723758674765172e-05,3
5,stratified,rstack_realmlp4_c012_s42_j5,87828,351312,17476,69905,0.9542381205091925,0.9538166313912916,2.3516964734682233e-05,4
5,stratified,best_rust_csweep_stack,87828,351312,17476,69905,0.9542204226617192,0.9538000631706177,6.948744060819578e-06,5
5,stratified,best_blend_meta_rust_multi_w100_620_280,87828,351312,17476,69905,0.9542177654225219,0.953799165182675,6.05075611814776e-06,6
5,stratified,best_blend_meta_rust_w65,87828,351312,17476,69905,0.9542168325013834,0.9537990147131415,5.900286584648029e-06,7
5,stratified,best_meta_bag_c008_s6,87828,351312,17476,69905,0.9542073658325687,0.9537931144265569,0.0,8
5,stratified,v15_realmlp_avg4,87828,351312,17476,69905,0.9504412241984107,0.9498503301281359,-0.003942784298420987,9
6,stratified,rstack_realmlp4_c008_s42_j5,87828,351312,17476,69905,0.9543940354628067,0.9537882125256611,2.967869213399421e-05,1
