split_id,family,name,public_n,private_n,public_pos,private_pos,public_auc,private_auc,private_delta_ref,private_rank
8,stratified,rstack_realmlp6avg_meta_c016_s10,87828,351312,17476,69905,0.9542102784660446,0.9539349489914267,0.00010879237031791167,2
8,stratified,rstack_realmlp6avg_meta_c012_s10,87828,351312,17476,69905,0.9541753179174006,0.9539001975443084,7.40409231996253e-05,3
8,stratified,rstack_realmlp6avg_meta_c010_s10,87828,351312,17476,69905,0.9541681636241715,0.9538916967781769,6.554015706805583e-05,4
8,stratified,best_meta_bag_c008_s6,87828,351312,17476,69905,0.9540726827650909,0.9538261566211088,0.0,5
9,stratified,rstack_realmlp6avg_meta_c014_s10,87828,351312,17476,69905,0.953459193987109,0.9541292975760113,0.0001271457391707198,1
9,stratified,rstack_realmlp6avg_meta_c016_s10,87828,351312,17476,69905,0.9534592110676181,0.9541236165886049,0.00012146475176433302,2
9,stratified,rstack_realmlp6avg_meta_c012_s10,87828,351312,17476,69905,0.95342751533628,0.9540881833009955,8.603146415497864e-05,3
9,stratified,rstack_realmlp6avg_meta_c010_s10,87828,351312,17476,69905,0.9534172312431024,0.9540807334832211,7.858164638052667e-05,4
9,stratified,best_meta_bag_c008_s6,87828,351312,17476,69905,0.9533714961466632,0.9540021518368406,0.0,5
10,stratified,rstack_realmlp6avg_meta_c014_s10,87828,351312,17476,69905,0.9544748750721807,0.9538759843529752,0.00012978546279862613,1
10,stratified,rstack_realmlp6avg_meta_c016_s10,87828,351312,17476,69905,0.9544653311343961,0.953872731618501,0.0001265327283244133,2
10,stratified,rstack_realmlp6avg_meta_c012_s10,87828,351312,17476,69905,0.9544376379356844,0.953836088169501,8.988927932451762e-05,3
10,stratified,rstack_realmlp6avg_meta_c010_s10,87828,351312,17476,69905,0.9544276108635005,0.9538284858996552,8.22870094786543e-05,4
10,stratified,best_meta_bag_c008_s6,87828,351312,17476,69905,0.9543969887641613,0.9537461988901765,0.0,5
11,stratified,rstack_realmlp6avg_meta_c014_s10,87828,351312,17476,69905,0.9538215065589415,0.9540394243603262,0.00010206744968810355,1
11,stratified,rstack_realmlp6avg_meta_c016_s10,87828,351312,17476,69905,0.9538171014143156,0.9540349881016356,9.763119099748252e-05,2
11,stratified,rstack_realmlp6avg_meta_c012_s10,87828,351312,17476,69905,0.9537794624791774,0.9540009072097934,6.355029915527943e-05,3
11,stratified,rstack_realmlp6avg_meta_c010_s10,87828,351312,17476,69905,0.9537752509136543,0.9539918048196991,5.444790906106167e-05,4
11,stratified,best_meta_bag_c008_s6,87828,351312,17476,69905,0.9536336461732138,0.9539373569106381,0.0,5
12,stratified,rstack_realmlp6avg_meta_c014_s10,87828,351312,17476,69905,0.9538377582566465,0.9540351316577041,0.00012788954667586339,1
12,stratified,rstack_realmlp6avg_meta_c016_s10,87828,351312,17476,69905,0.9538317247701555,0.954031017434316,0.00012377532328766705,2
12,stratified,rstack_realmlp6avg_meta_c012_s10,87828,351312,17476,69905,0.9537987008258976,0.9539960237109149,8.878159988656709e-05,3
